event,team_a,team_h,kickoff_time
11,Arsenal,Tottenham,2020-12-05T15:00:00Z
11,Crystal Palace,West Brom,2020-12-05T15:00:00Z
11,Manchester Utd,West Ham Utd,2020-12-05T15:00:00Z
12,Tottenham,Crystal Palace,2020-12-12T15:00:00Z
12,Chelsea,Everton,2020-12-12T15:00:00Z
12,Liverpool,Fulham,2020-12-12T15:00:00Z
12,West Ham Utd,Leeds Utd,2020-12-12T15:00:00Z
12,Manchester City,Manchester Utd,2020-12-12T15:00:00Z
12,West Brom,Newcastle utd,2020-12-12T15:00:00Z
12,Sheffield Utd,Southampton,2020-12-12T15:00:00Z
12,Aston Villa,Wolverhampton,2020-12-12T15:00:00Z
12,Burnley,Arsenal,2020-12-13T15:00:00Z
12,Brighton,Leicester City,2020-12-13T15:00:00Z
13,Southampton,Arsenal,2020-12-15T19:45:00Z
13,Burnley,Aston Villa,2020-12-15T19:45:00Z
13,Brighton,Fulham,2020-12-15T19:45:00Z
13,Newcastle utd,Leeds Utd,2020-12-15T19:45:00Z
13,Everton,Leicester City,2020-12-15T19:45:00Z
13,Manchester Utd,Sheffield Utd,2020-12-15T19:45:00Z
13,Crystal Palace,West Ham Utd,2020-12-15T19:45:00Z
13,Chelsea,Wolverhampton,2020-12-15T19:45:00Z
13,Tottenham,Liverpool,2020-12-16T20:00:00Z
13,West Brom,Manchester City,2020-12-16T20:00:00Z
14,Sheffield Utd,Brighton,2020-12-19T15:00:00Z
14,Wolverhampton,Burnley,2020-12-19T15:00:00Z
14,West Ham Utd,Chelsea,2020-12-19T15:00:00Z
14,Liverpool,Crystal Palace,2020-12-19T15:00:00Z
14,Arsenal,Everton,2020-12-19T15:00:00Z
14,Leeds Utd,Manchester Utd,2020-12-19T15:00:00Z
14,Fulham,Newcastle utd,2020-12-19T15:00:00Z
14,Manchester City,Southampton,2020-12-19T15:00:00Z
14,Leicester City,Tottenham,2020-12-19T15:00:00Z
14,Aston Villa,West Brom,2020-12-19T15:00:00Z
15,Chelsea,Arsenal,2020-12-26T15:00:00Z
15,Crystal Palace,Aston Villa,2020-12-26T15:00:00Z
15,Southampton,Fulham,2020-12-26T15:00:00Z
15,Burnley,Leeds Utd,2020-12-26T15:00:00Z
15,Manchester Utd,Leicester City,2020-12-26T15:00:00Z
15,West Brom,Liverpool,2020-12-26T15:00:00Z
15,Newcastle utd,Manchester City,2020-12-26T15:00:00Z
15,Everton,Sheffield Utd,2020-12-26T15:00:00Z
15,Brighton,West Ham Utd,2020-12-26T15:00:00Z
15,Tottenham,Wolverhampton,2020-12-26T15:00:00Z
16,Arsenal,Brighton,2020-12-28T15:00:00Z
16,Sheffield Utd,Burnley,2020-12-28T15:00:00Z
16,Aston Villa,Chelsea,2020-12-28T15:00:00Z
16,Leicester City,Crystal Palace,2020-12-28T15:00:00Z
16,Manchester City,Everton,2020-12-28T15:00:00Z
16,Wolverhampton,Manchester Utd,2020-12-28T15:00:00Z
16,Liverpool,Newcastle utd,2020-12-28T15:00:00Z
16,West Ham Utd,Southampton,2020-12-28T15:00:00Z
16,Fulham,Tottenham,2020-12-28T15:00:00Z
16,Leeds Utd,West Brom,2020-12-28T15:00:00Z
17,Wolverhampton,Brighton,2021-01-02T15:00:00Z
17,Fulham,Burnley,2021-01-02T15:00:00Z
17,Manchester City,Chelsea,2021-01-02T15:00:00Z
17,Sheffield Utd,Crystal Palace,2021-01-02T15:00:00Z
17,West Ham Utd,Everton,2021-01-02T15:00:00Z
17,Aston Villa,Manchester Utd,2021-01-02T15:00:00Z
17,Leicester City,Newcastle utd,2021-01-02T15:00:00Z
17,Liverpool,Southampton,2021-01-02T15:00:00Z
17,Leeds Utd,Tottenham,2021-01-02T15:00:00Z
17,Arsenal,West Brom,2021-01-02T15:00:00Z
